,lon,lat,structureType,occupancy,stories,yearBuilt,replacementCost,area,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AveJanTemp,RoofShape,RoofSlope,SheathingThick,RoofSystem,MeanRoofHt,WindowArea,Garage,LULC,DesignLevel
14,-74.5046481,39.3405619,Other,Residential,2,1998,1,3302.362356,,,Atlantic,NJ,39.3405619,-74.5046481,RES1,3004,,,E,1998,1998,2,2,nav,3302.362356,3302.362356,3501,1,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
15,-74.4893561,39.3343273,Other,Residential,1,1999,1,3320.046713,,,Atlantic,NJ,39.3343273,-74.4893561,RES1,3004,,,E,1999,1999,1,1,nav,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
16,-74.4926183,39.3350778,Other,Residential,1,2000,1,3249.309285,,,Atlantic,NJ,39.3350778,-74.4926183,RES3A,3004,,,E,2000,2000,1,1,nav,3249.309285,3249.309285,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,,0.2,1,1110,
17,-74.4932479,39.3352129,Other,Residential,2,2001,1,3266.993642,,,Atlantic,NJ,39.3352129,-74.4932479,RES3B,3004,,,E,2001,2001,2,2,nav,3266.993642,3266.993642,3501,1,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
18,-74.456126,39.371879,Other,Residential,1,2002,1,3284.677999,,,Atlantic,NJ,39.371879,-74.456126,RES5,3004,,,E,2002,2002,1,1,nav,3284.677999,3284.677999,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
19,-74.4256096,39.3730231,Other,Residential,2,2003,1,3302.362356,,,Atlantic,NJ,39.3730231,-74.4256096,RES6,3004,,,E,2003,2003,2,2,nav,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,1,1110,
20,-74.422598,39.373333,Other,Commercial,1,2004,1,3320.046713,,,Atlantic,NJ,39.373333,-74.422598,COM8,3004,,,E,2004,2004,1,1,nav,3320.046713,3320.046713,3501,1,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,1,1110,
21,-74.4924695,39.3360964,Other,Commercial,1,1996,1,3320.046713,,,Atlantic,NJ,39.3360964,-74.4924695,COM1,3004,,,E,1996,1996,1,1,Single,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,20,0.2,0,1110,
22,-74.4923551,39.3370503,Other,Commercial,1,1997,1,3249.309285,,,Atlantic,NJ,39.3370503,-74.4923551,COM2,3004,,,E,1997,1997,1,1,Single,3249.309285,3249.309285,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,15,0.2,1,1110,
23,-74.4954914,39.3378133,Other,Commercial,1,1998,1,3266.993642,,,Atlantic,NJ,39.3378133,-74.4954914,COM1,3004,,,E,1998,1998,1,1,Multiple,3266.993642,3266.993642,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,12,0.2,0,1110,
24,-74.497623,39.338239,Other,Commercial,1,1999,1,3284.677999,,,Atlantic,NJ,39.338239,-74.497623,COM2,3004,,,E,1999,1999,1,1,Single,3284.677999,3284.677999,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,15,0.2,1,1110,
25,-74.462879,39.350019,Other,Commercial,1,2000,1,3302.362356,,,Atlantic,NJ,39.350019,-74.462879,COM2,3004,,,E,2000,2000,1,1,Single,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,10,0.2,1,1110,
26,-74.4077913,39.377703,Other,Industry,1,1998,1,3302.362356,,,Atlantic,NJ,39.377703,-74.4077913,IND1,3004,,,E,1998,1998,1,1,nav,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
27,-74.4513949,39.3716807,Other,Industry,1,1999,1,3320.046713,,,Atlantic,NJ,39.3716807,-74.4513949,IND2,3004,,,E,1999,1999,1,1,nav,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
28,-74.4025233,39.3808563,Other,Industry,1,2000,1,3320.046713,,,Atlantic,NJ,39.3808563,-74.4025233,IND3,3004,,,E,2000,2000,1,1,nav,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
29,-74.4926069,39.3385289,Other,Industry,1,2001,1,3249.309285,,,Atlantic,NJ,39.3385289,-74.4926069,IND4,3004,,,E,2001,2001,1,1,nav,3249.309285,3249.309285,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,,0.2,0,1110,
30,-74.4052252,39.3819633,Other,Industry,1,2002,1,3266.993642,,,Atlantic,NJ,39.3819633,-74.4052252,IND5,3004,,,E,2002,2002,1,1,nav,3266.993642,3266.993642,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
31,-74.4936142,39.3387451,Other,Residential,2,2003,1,3284.677999,,,Atlantic,NJ,39.3387451,-74.4936142,RES3A,3004,,,E,2003,2003,2,2,Multiple,3284.677999,3284.677999,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.2,0,1110,
32,-74.4933395,39.3393012,Other,Residential,6,2004,1,3302.362356,,,Atlantic,NJ,39.3393012,-74.4933395,RES3B,3004,,,E,2004,2004,6,6,Multiple,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.6,0,1110,
33,-74.4926183,39.3401231,Other,Residential,5,1996,1,3302.362356,,,Atlantic,NJ,39.3401231,-74.4926183,RES3C,3004,,,E,1996,1996,5,5,Multiple,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.4,0,1110,
34,-74.4488646,39.3721164,Other,Residential,1,1997,1,3320.046713,,,Atlantic,NJ,39.3721164,-74.4488646,RES3D,3004,,,E,1997,1997,1,1,Multiple,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,hipped,0.25,1,Wood,,0.2,0,1110,
35,-74.4615156,39.3502,Other,Residential,4,1998,1,3320.046713,,,Atlantic,NJ,39.3502,-74.4615156,RES3E,3004,,,E,1998,1998,4,4,Multiple,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.6,0,1110,
36,-74.4606799,39.3508673,Other,Commercial,2,1999,1,3249.309285,,,Atlantic,NJ,39.3508673,-74.4606799,COM2,3004,,,E,1999,1999,2,2,Multiple,3249.309285,3249.309285,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,,0.2,0,1110,
37,-74.4191627,39.3687906,Other,Commercial,6,2000,1,3266.993642,,,Atlantic,NJ,39.3687906,-74.4191627,COM1,3004,,,E,2000,2000,6,6,Multiple,3266.993642,3266.993642,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.35,0,1110,
38,-74.4468152,39.3727956,Other,Commercial,5,1998,1,3284.677999,,,Atlantic,NJ,39.3727956,-74.4468152,COM2,3004,,,E,1998,1998,5,5,Multiple,3284.677999,3284.677999,3501,0,,,,10,6101,,124,,,,above,gabled,0.25,1,Wood,,0.5,0,1110,
39,-74.4482349,39.373108,Other,Commercial,2,1999,1,3302.362356,,,Atlantic,NJ,39.373108,-74.4482349,COM10,3004,,,E,1999,1999,2,2,Multiple,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,,0.4,0,1110,
40,-74.483999,39.3516012,Other,Commercial,4,2000,1,3302.362356,,,Atlantic,NJ,39.3516012,-74.483999,COM2,3004,,,E,2000,2000,4,4,Multiple,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,flat,0,1,Wood,,0.25,0,1110,
41,-74.4625832,39.3522917,Other,Residential,2,1999,1,2707.17834,,,Atlantic,NJ,39.3522917,-74.4625832,RES3A,3003,,,E,1999,1999,2,2,nav,2707.17834,2707.17834,3501,0,,,,10,6101,,124,,,,above,flat,0,2,Wood,,0.2,0,1110,
42,-74.4619621,39.3532176,Other,Residential,6,2000,1,3565.396756,,,Atlantic,NJ,39.3532176,-74.4619621,RES3B,3003,,,E,2000,2000,6,6,nav,3565.396756,3565.396756,3501,0,,,,10,6101,,124,,,,above,flat,0,3,Wood,,0.35,0,1110,
43,-74.464309,39.3544179,Other,Residential,5,2001,1,1403.390044,,,Atlantic,NJ,39.3544179,-74.464309,RES3C,3003,,,E,2001,2001,5,5,nav,1403.390044,1403.390044,3501,0,,,,10,6101,,124,,,,above,flat,0,4,Wood,,0.5,0,1110,
44,-74.4606913,39.3509579,Other,Residential,1,2002,1,1721.953486,,,Atlantic,NJ,39.3509579,-74.4606913,RES3D,3003,,,E,2002,2002,1,1,nav,1721.953486,1721.953486,3501,0,,,,10,6101,,124,,,,above,flat,0,5,Wood,,0.4,0,1110,
45,-74.5143194,39.326016,Other,Residential,4,2003,1,7683.066947,,,Atlantic,NJ,39.326016,-74.5143194,RES3E,3003,,,E,2003,2003,4,4,nav,7683.066947,7683.066947,3501,0,,,,10,6101,,124,,,,above,flat,0,6,Wood,,0.25,0,1110,
46,-74.515029,39.3262707,Other,Commercial,2,2004,1,2130.220552,,,Atlantic,NJ,39.3262707,-74.515029,COM2,3003,,,E,2004,2004,2,2,nav,2130.220552,2130.220552,3501,0,,,,10,6101,,124,,,,above,flat,0,7,Wood,,0.2,0,1110,
47,-74.5122479,39.3265955,Other,Commercial,6,1996,1,3249.309285,,,Atlantic,NJ,39.3265955,-74.5122479,COM1,3003,,,E,1996,1996,6,6,nav,3249.309285,3249.309285,3501,0,,,,10,6101,,124,,,,above,flat,0,8,Wood,,0.35,0,1110,
48,-74.5126141,39.3273577,Other,Commercial,5,1997,1,3266.993642,,,Atlantic,NJ,39.3273577,-74.5126141,COM2,3003,,,E,1997,1997,5,5,nav,3266.993642,3266.993642,3501,0,,,,10,6101,,124,,,,above,flat,0,9,Wood,,0.5,0,1110,
49,-74.461353,39.356941,Other,Commercial,1,1998,1,3284.677999,,,Atlantic,NJ,39.356941,-74.461353,COM10,3003,,,E,1998,1998,1,1,nav,3284.677999,3284.677999,3501,0,,,,10,6101,,124,,,,above,flat,0,10,Wood,,0.4,0,1110,
50,-74.462214,39.3586515,Other,Commercial,4,1999,1,3302.362356,,,Atlantic,NJ,39.3586515,-74.462214,COM2,3003,,,E,1999,1999,4,4,nav,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,flat,0,11,Wood,,0.25,0,1110,
51,-74.4201475,39.3744412,Other,Residential,2,2000,1,3320.046713,,,Atlantic,NJ,39.3744412,-74.4201475,RES3A,3002,,,E,2000,2000,2,2,nav,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,flat,0,12,Wood,,0.2,0,1110,
52,-74.391586,39.3949224,Other,Residential,6,1998,1,3249.309285,,,Atlantic,NJ,39.3949224,-74.391586,RES3B,3002,,,E,1998,1998,6,6,nav,3249.309285,3249.309285,3501,0,,,,10,6101,,124,,,,above,flat,0,13,Wood,,0.35,0,1110,
53,-74.4496088,39.3735328,Other,Residential,5,1999,1,3266.993642,,,Atlantic,NJ,39.3735328,-74.4496088,RES3C,3002,,,E,1999,1999,5,5,nav,3266.993642,3266.993642,3501,0,,,,10,6101,,124,,,,above,flat,0,14,Wood,,0.5,0,1110,
54,-74.449887,39.374192,Other,Residential,1,2000,1,3284.677999,,,Atlantic,NJ,39.374192,-74.449887,RES3D,3002,,,E,2000,2000,1,1,nav,3284.677999,3284.677999,3501,0,,,,10,6101,,124,,,,above,flat,0,15,Wood,,0.4,0,1110,
55,-74.5100046,39.3274781,Other,Residential,4,1999,1,3302.362356,,,Atlantic,NJ,39.3274781,-74.5100046,RES3E,3002,,,E,1999,1999,4,4,nav,3302.362356,3302.362356,3501,0,,,,10,6101,,124,,,,above,flat,0,16,Wood,,0.25,0,1110,
56,-74.5151664,39.3280507,Other,Commercial,2,2000,1,3320.046713,,,Atlantic,NJ,39.3280507,-74.5151664,COM2,3002,,,E,2000,2000,2,2,nav,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,flat,0,17,Wood,,0.2,0,1110,
57,-74.5100046,39.3323858,Other,Commercial,6,2001,1,3320.046713,,,Atlantic,NJ,39.3323858,-74.5100046,COM1,3002,,,E,2001,2001,6,6,nav,3320.046713,3320.046713,3501,0,,,,10,6101,,124,,,,above,flat,0,18,Wood,,0.35,0,1110,
58,-74.523521,39.3176464,Other,Commercial,5,2002,1,1721.953486,,,Atlantic,NJ,39.3176464,-74.523521,COM2,3002,,,E,2002,2002,5,5,nav,1721.953486,1721.953486,3501,0,,,,10,6101,,124,,,,above,flat,0,19,Wood,,0.5,0,1110,
59,-74.5209918,39.3177682,Other,Commercial,1,2003,1,7683.066947,,,Atlantic,NJ,39.3177682,-74.5209918,COM10,3002,,,E,2003,2003,1,1,nav,7683.066947,7683.066947,3501,0,,,,10,6101,,124,,,,above,flat,0,20,Wood,,0.4,0,1110,
60,-74.367201,39.4197216,Other,Commercial,4,2004,1,2130.220552,,,Atlantic,NJ,39.4197216,-74.367201,COM2,3002,,,E,2004,2004,4,4,nav,2130.220552,2130.220552,3501,0,,,,10,6101,,124,,,,above,flat,0,21,Wood,,0.25,0,1110,
61,-74.4510742,39.3538962,Other,Commercial,1,1996,1,1000,,,Atlantic,NJ,39.3538962,-74.4510742,COM2,3002,,,PE,1996,1996,1,1,nav,1000,1000,3501,0,,,,10,6101,,124,,,,above,flat,0,22,Wood,,0.2,0,1110,
62,-74.452768,39.353898,Other,Commercial,1,1997,1,60000,,,Atlantic,NJ,39.353898,-74.452768,COM1,3002,,,PE,1997,1997,1,1,nav,60000,60000,3501,0,,,,10,6101,,124,,,,above,flat,0,23,Wood,,0.35,0,1110,
63,-74.453137,39.3538349,Other,Commercial,1,1998,1,8000,,,Atlantic,NJ,39.3538349,-74.453137,COM2,3002,,,PE,1998,1998,1,1,nav,8000,8000,3501,0,,,,10,6101,,124,,,,above,flat,0,24,Wood,,0.5,0,1110,
64,-74.451001,39.3562299,Other,Commercial,1,1999,1,2000,,,Atlantic,NJ,39.3562299,-74.451001,COM10,3002,,,PE,1999,1999,1,1,nav,2000,2000,3501,0,,,,10,6101,,124,,,,above,flat,0,25,Wood,,0.4,0,1110,
65,-74.4436719,39.3562234,Other,Commercial,1,2000,1,4000,,,Atlantic,NJ,39.3562234,-74.4436719,COM2,3002,,,PE,2000,2000,1,1,nav,4000,4000,3501,0,,,,10,6101,,124,,,,above,flat,0,26,Wood,,0.25,0,1110,
