UF.1, Ability to use basic Monte Carlo and LHS methods, SP, M, Implemented, `qfem-0001 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0001/README.html>`_,`eeuq-0001 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0001/README.html>`_,`weuq-0001 <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0001/README.html>`_,`hdro-0001 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0001/README.html>`_,`pbdl-0001 <https://nheri-simcenter.github.io/PBE-Documentation/common/user_manual/examples/desktop/pbdl-0001/README.html>`_,`r2d <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/examples/desktop/E3PhysicsBasedGroundMotions/README.html>`_
UG.3, Ability to use probability model-based global sensitivity analysis (PM-GSA) for high-dimensional outputs,UF,D, Implemented,`qfem-0023 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0023/README.html>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQSensitivity.html>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQSensitivity.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/DakotaSensitivity.html>`_,NA,NA
US.1, Ability to Construct Gaussian Process (GP) Regression Model from a Simulation Model, SP, M, Implemented,`qfem-0016 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0016/README.html>`_,`eeuq-0009 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0009/README.html>`_,NA,NA,NA,NA
US.2, Ability to Construct GP Regression Model from Input-output Dataset, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/SimCenterUQSurrogate.html#lblsimsurrogate>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0009/README.html>`_,NA,NA,NA,NA
US.3, Ability to use Surrogate Model for UQ Analysis, SP, M, Implemented,`qfem-0016 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0016/README.html>`_,`eeuq-0010 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0010/README.html>`_,NA,NA,NA,NA
US.4, Ability to Save the Surrogate Model, SP, M, Implemented,`qfem-0016 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0016/README.html>`_,`eeuq-0009 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0009/README.html>`_,NA,NA,NA,NA
US.5, Ability to Use Adaptive Design of Experiments, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/SimCenterUQSurrogate.html#lblsimsurrogate>`_,NA,NA,NA,NA,NA
US.6, Ability to Assess Reliability of Surrogate Model, SP, M, Implemented,`qfem-0016 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0016/README.html>`_,`eeuq-0009 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0009/README.html>`_,NA,NA,NA,NA
US.7, Ability to Build Surrogate Under Stochastic Excitation, SP, M, Implemented,`qfem-0025 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0025/README.html>`_,`eeuq-0009 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0009/README.html>`_,NA,NA,NA,NA
US.8, Ability to Use Physics-Informed Machine Learning, SP, M, _, _, _, _, _, _, _
UN.1, Ability to use Gauss-Newton solvers for parameter estimation, SP, M, Implemented,`qfem-0007 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0007/README.html>`_,NA,NA,NA,NA,NA
UN.2, Ability to read calibration data from a file, UF, M, Implemented,`qfem-0007 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0007/README.html>`_,NA,NA,NA,NA,NA
UN.3, Ability to handle non-scalar response quantities, UF, M, Implemented,`qfem-0007 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0007/README.html>`_,NA,NA,NA,NA,NA
UN.4, Ability to run gradient-free parameter estimation, UF,D, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/DakotaGradientFreeOptimization.html#lbldakotagradientfreeestimation>`_,NA,NA,NA,NA,NA
UB.1, Ability to use DREAM algorithm for Bayesian inference, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/DakotaBayesianCalibration.html#lbldakotabayesiancalibration>`_,NA,NA,NA,NA,NA
UB.2, Ability to use TMCMC algorithm for Bayesian inference, SP, M, Implemented,`qfem-0014 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0014/README.html>`_,NA,NA,NA,NA,NA
UB.3, Ability to read calibration data from a file, UF, M, Implemented,`qfem-0014 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0014/README.html>`_,NA,NA,NA,NA,NA
UB.4, Ability to handle non-scalar response quantities, UF, M, Implemented,`qfem-0014 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0014/README.html>`_,NA,NA,NA,NA,NA
UB.5, Ability to calibrate multipliers on error covariance, UF, M, Implemented,`qfem-0014 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0014/README.html>`_,NA,NA,NA,NA,NA
UB.6, Ability to use a default log-likelihood function, UF, M, Implemented,`qfem-0014 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0014/README.html>`_,NA,NA,NA,NA,NA
UB.7, Ability to use Kalman Filtering, UF, M, _, _, _, _, _, _, _
UB.8, Ability to use Particle Filtering, UF, M, _, _, _, _, _, _, _
UB.9, Ability to perform model-class selection/averaging, UF,D,Implemented,`qfem-0029 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0029/README.html>`_,NA,NA,NA,NA,NA
UB.10, Ability to perform hierarchical Bayesian calibration, UF,D,Implemented,`qfem-0028 <https://nheri-simcenter.github.ia/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0028/README.html>`_,NA,NA,NA,NA,NA
UB.11, Ability to perform surrogate-aided Bayesian calibration, UF,D,In Progress,1.1.2.3.4,NA,NA,NA,NA,NA
UH.1, Ability to sample from manifold, SP, M, Implemented,`qfem-0022 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0022/README.html>`_,`eeuq-0006 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0006/README.html>`_,NA,NA,NA,NA
UH.2, Ability to build Reduced Order Model, SP, M,In Progress,1.2.4.4,,NA,NA,NA,NA
UO.1, Ability to use User-Specified External UQ Engine, SP, M, Implemented,`qfem-0017 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0017/README.html>`_,NA,NA,NA,NA,NA
UO.2, Ability to use Own External FEM Application, UF, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/quoFEM/FEM.html#custom>`_,NA,NA,NA,NA,NA
UO.3,"Ability to use UQ Engines other than SimCenterUQ, Dakota, or UCSD-UQ", UF,P, _, _, _, _, _, _, _
