"BR.4", "Developing tools that utilize GIS information and online images, e.g. google maps, for data collection for gathering Building Information", "-", "-", "-", "-", "-", "-"
"BR.4.1", "Develop Framework for creating asset inventories","SP", "M", "Implemented", "-", "-", "-"
"BR.4.2", "Create workflow application for building inventory from framework modules","SP", "M", "Implemented", "-", "-", "-"
"BR.4.3", "Create workflow application for transportation network from framework modules","SP", "M", "-", "-", "-", "-"
"BR.5", "Developing Modules for Asset Inventory Workflows identified in BR.4", "-", "-", "-", "-", "-", "-"
"BR.5.1", "Predicting if building is a soft-story building for earthquake simulations","UF", "M", "Implemented", "-", "-", "-"
"BR.5.2", "Predicting First Floor Height","SP", "M", "InProgress", "-", "-", "-"
"BR.5.3", "Predicting Roof Height","SP", "M", "InProgress", "-", "-", "-"
"BR.5.4", "Predicting Eave Height","SP", "M", "InProgress", "-", "-", "-"
"BR.5.5", "Predicting Eave Length","SP", "M", "-", "-", "-", "-"
"BR.5.6", "Predicting Roof Shape","SP", "M", "Implemented", "-", "-", "-"
"BR.5.7", "Predicting Roof Pitch","SP", "M", "InProgress", "-", "-", "-"
"BR.5.8", "Predicting Roof Material","SP", "M", "InProgress", "-", "-", "-"
"BR.5.9", "Predicting Window Area","SP", "M", "InProgress", "-", "-", "-"
"BR.5.10", "Predicting Building Material","SP", "M", "-", "-", "-", "-"
"BR.5.11", "Classifying Elevated Building","SP", "M", "Implemented", "-", "-", "-"
"BR.5.12", "Predicting Structural Type","SP", "M", "-", "-", "-", "-"
"BR.5.13", "Predicting Occupancy Type","SP", "M", "Implemented", "-", "-", "-"
"BR.5.14", "Predicting Year Built","SP", "M", "Implemented", "-", "-", "-"
"BR.5.15", "Predicting Attached Garage","SP", "M", "-", "-", "-", "-"
"BR.5.16", "Predicting Presence of Masonry Chimney","UF", "D", "-", "-", "-", "-"
"BR.6", "DesignSafe integration to provide access to GPU", "-", "-", "-", "-", "-", "-"
"BR.6.1", "Create JupyterHub notebook at DesignSafe for building asset inventory workflow usage","SP", "M", "-", "-", "-", "-"
"BR.6.2", "For classification done at DesignSafe, store images and meta data for BE Database","SP", "M", "-", "-", "-", "-"
"BR.6.3", "Create JupyterHub notebook at DesignSafe for individual modules to demonstrate immediate results","SP", "M", "-", "-", "-", "-"
"BR.7", "Work to improve existing performance models through Continous Learning", "-", "-", "-", "-", "-", "-"
"BR.7.1", "Continous Learning for Year Built","SP", "M", "-", "-", "-", "-"
"BR.7.2", "Continous Learning for Roof Material","SP", "M", "-", "-", "-", "-"
"BR.8", "Work to gather data for Module Validation/Verification/Training","SP", "M", "InProgress", "-", "-", "-"
"CR.1", "Open-source software where developers can test new data and develop algorithms", "-", "-", "-", "-", "-", "-"
"CR.1.1", "Provide open-source applications utilizing code hosting platforms, e.g. GitHub","SP", "M", "Implemented", "https://github.com/NHERI-SimCenter/quoFEM", "https://github.com/NHERI-SimCenter/WE-UQ", "https://github.com/NHERI-SimCenter/EE-UQ", "https://github.com/NHERI-SimCenter/PBE", "https://github.com/NHERI-SimCenter/R2DTool"
"CR.1.2", "Assign an open-source licensce that allows free use.","SP", "M", "Implemented", "https://github.com/NHERI-SimCenter/quoFEM/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/WE-UQ/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/EE-UQ/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/R2DTool/blob/master/LICENSE", "https://github.com/NHERI-SimCenter/PBE/blob/master/LICENSE"
"CR.2", "Ability of Practicing Engineers to use multiple coupled resources (applications, databases, viz tools) in engineering practice", "-", "-", "-", "-", "-", "-"
"CR.2.1", "Allow users to launch scientific workflows","SP", "M", "Implemented", "-", "-", "-"
"CR.3", "Ability to utilize resources beyond the desktop including HPC", "-", "-", "-", "-", "-", "-"
"CR.3.1", "Allow users to utilize HPC resources at TACC through DesignSafe","SP", "M", "Implemented", "-", "-", "-"
"CR.4", "Efficient use of multiple coupled and linked models requiring sharing and inter-operability of databases, computing environments, networks, visualization tools, and analysis systems", "-", "-", "-", "-", "-", "-"
"CR.4.1", "Identify and include external analysis systems","SP", "M", "InProgress", "-", "-", "-"
"CR.4.2", "Identify and include external databases","SP", "M", "InProgress", "-", "-", "-"
"CR.4.3", "Identify and include external viz tools","SP", "M", "InProgress", "-", "-", "-"
"CR.4.4", "Identify and include external computing env","SP", "M", "Inprogress", "-", "-", "-"
"CR.5", "Tool available for download from web", "-", "-", "-", "-", "-", "-"
"CR.5.1", "Tool downloadable from DesignSafe website","GC", "M", "Implemented", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/quoFEM", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/WE_UQ", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community//SimCenter/Software/EE_UQ", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community/%2FSimCenter%2FSoftware%2FPBE", "https://www.designsafe-ci.org/data/browser/public/designsafe.storage.community/SimCenter/Software/R2Dt"
"CR.6", "Ability to benefit from programs that move research results into practice and obtain training", "-", "-", "-", "-", "-", "-"
"CR.6.1", "Ability to use educational provisions to gain interdisclipinary education so as to gain expertise in earth sciences and physics, engineering mechanics, geotechnical engineering, and structural engineering in order to be qualified to perform these simulations","GC", "D", "-", "-", "-", "-"
"CR.6.2", "Documentation exists demonstrainting application usage","SP", "M", "Implemented", "-", "-", "-"
"CR.6.3", "Video Exists demonstrating application usage","SP", "M", "Implemented", "-", "-", "-"
"CR.6.4", "Tool Training through online and in person training events","SP", "M", "Implemented", "-", "-", "-"
"CR.7", "Verification Examples Exist","SP", "M", "Implemented", "-", "-", "-"
"CR.8", "validation of proposed analytical models against existing empirical datasets", "-", "-", "-", "-", "-", "-"
"CR.8.1", "Validation Examples Exist, validated against tests or other software","GC", "M", "-", "-", "-", "-"
