**BE.1**, **Ability to use cumulative knowledge bases rather than the piecemeal individual approaches**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
BE.1.1, Utilize Federated Databases to maintain individual databases & data sources yet provide central database resource, SP, M, _, N/A, N/A, N/A, N/A, N/A, _, , , ,
BR.5.1, Predicting if a building is a soft-story building for earthquake simulations, UF, M, Implemented, N/A, _, _, _, _, _, , , ,
BR.5.2, Predicting First Floor Height, SP, M, InProgress, N/A, _, _, _, _, _, , , ,
BR.5.3, Predicting Roof Height, SP, M, InProgress, N/A, _, _, _, _, _, , , ,
BR.5.4, Predicting Eave Height, SP, M, InProgress, N/A, _, _, _, _, _, , , ,
BR.5.5, Predicting Eave Length, SP, M, _, N/A, _, _, _, _, _, , , ,
BR.5.6, Predicting Roof Shape, SP, M, Implemented, N/A, _, _, _, _, _, , , ,
BR.5.7, Predicting Roof Pitch, SP, M, InProgress, N/A, _, _, _, _, _, , , ,
BR.5.8, Predicting Roof Material, SP, M, InProgress, N/A, _, _, _, _, _, , , ,
BR.5.9, Predicting Window Area, SP, M, InProgress, N/A, _, _, _, _, _, , , ,
BR.5.10, Predicting Building Material, SP, M, _, N/A, _, _, _, _, _, , , ,
BR.5.11, Classifying Elevated Building, SP, M, Implemented, N/A, _, _, _, _, _, , , ,
BR.5.12, Predicting Structural Type, SP, M, _, N/A, _, _, _, _, _, , , ,
BR.5.13, Predicting Occupancy Type, SP, M, Implemented, N/A, _, _, _, _, _, , , ,
BR.5.14, Predicting Year Built, SP, M, Implemented, N/A, _, _, _, _, _, , , ,
BR.5.15, Predicting Attached Garage, SP, M, _, N/A, _, _, _, _, _, , , ,
BR.5.16, Predicting Presence of Masonry Chimney, UF, D, _, N/A, _, _, _, _, _, , , ,
**BR.6**, **DesignSafe integration to provide access to GPU**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
BR.6.1, Create JupyterHub notebook at DesignSafe for building asset inventory workflow usage, SP, M, _, N/A, _, _, _, _, _, _, , ,
BR.6.2, "For classification done at DesignSafe, store images and metadata for BE Database", SP, M, _, N/A, _, _, _, _, , , ,
BR.6.3, Create a JupyterHub notebook at DesignSafe for individual modules to demonstrate immediate results, SP, M, _, N/A, _, _, _, _, _, , , ,
**BR.7**, **Work to improve existing performance models through Continous Learning**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
BR.7.1, Continous Learning for Year Built, SP, M, _, N/A, _, _, _, _, _, , , ,
BR.7.2, Continous Learning for Roof Material, SP, M, _, N/A, _, _, _, _, _, , , ,
BR.8, Work to gather data for Module Validation/Verification/Training, SP, M, InProgress, N/A, _, _, _, _, _, , , ,
**EL.1**, **Regional Scale Earthquake Hazard Simulation Options**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
**EL.1.1**, **Coupling of multi-scale nonlinear models from the point of rupture through rock and soil into structure**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
EL.1.1.1, Replacement of empirical linear models with multi-scale nonlinear models, GC, D, _, N/A, _, N/A, N/A, _, _, , , ,
EL.1.1.2, Include both multi-scale and multi-phase (account for liquefaction), GC, M, InProgress, N/A, _, N/A, N/A, _, "1.1.3.3.3, 1.1.3.3.5", , , ,
EL.1.1.3, Interface between asset and regional simulations using site response method, SP, M, Implemented, N/A, _, N/A, N/A, _, `R2D UM 2.3.5 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/usage/desktop/R2DTool/HAZ.html#regional-site-response>`_, , , ,
EL.1.1.4, Interface between asset and regional simulations using DRM method, SP, M, , _, _, N/A, N/A, _, _, , , ,
EL.1.2, Method to include both the intra-event residual and inter-event residual in simulating spatial correlated ground motion intensity measures with multiple correlation model options. Select site-specific ground motions from PEER to match target intensity, SP, M, Implemented, N/A, _, N/A, N/A, _,`R2D UM 3.1.4.3 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/usage/desktop/R2DTool/tools.html#spatial-correlation-models>`_, , , ,
EL.1.3, Use GIS-Specified Matrix of Recorded Motions, SP, M, Implemented, N/A, _, N/A, N/A, _,`R2D UM 2.3 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/usage/desktop/R2DTool/HAZ.html>`_, , , ,
**EL.2**, **Select from Multiple Local Scale Earthquake Hazard Options**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
**EL.2.1**, **Coupling of multi-scale nonlinear models from the point of rupture through rock and soil into structure**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
EL.2.1.1, Select using default selection options, SP, D, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.1.2, Select using all options available at PEER site, UF, D, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.1.3, Select using user-supplied spectrum, UF, D, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.2, Ability to select utilizing PEER NGA_West web service, SP, D, Implemented, N/A, _, N/A, N/A, _,`R2D UM 3.1.6 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/usage/desktop/R2DTool/tools.html#ground-motion-record-selection>`_, , , ,
EL.2.3, Ability to select from a list of user-supplied PEER motions, SP, M, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.4, Ability to select from a list of SimCenter motions, SP, M, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.5, Ability to use OpenSHA and selection methods to generate motions, UF, D, _, N/A, _, N/A, N/A, _,`R2D UM 3.1.2 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/usage/desktop/R2DTool/tools.html#opensha-erf>`_, , , ,
EL.2.6, Ability to Utilize Own Application in Workflow, SP, M, Implemented, N/A, _, N/A, N/A, _,`R2D DM <https://nheri-simcenter.github.io/R2D-Documentation/common/developer_manual/architecture/desktop/run-manually.html>`_, , , ,
**EL.2.7**, **Ability to use Broadband**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , , ,
EL.2.7.1, 1D nonlinear site response with effective stress analysis, SP, M, Implemented, N/A, _, N/A, N/A, _, `R2D UM 2.3.5 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/usage/desktop/R2DTool/HAZ.html#regional-site-response>`_, , , ,
EL.2.7.2, Nonlinear site response with bidirectional loading, SP, M, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.7.3, Nonlinear site response with full stochastic characterization of soil layers, SP, M, Implemented, N/A, _, _, _, _, _, _, , ,
EL.2.7.4, "Nonlinear site response bidirectional different input motions", SP, M, , _, _, N/A, N/A, _, _, , , ,
**EL.2.8**, **Ability to include Soil-Structure Interaction Effects**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, _, ,,
EL.2.8.1, "per Vlachos Papakonstantinou Deodatis (2017)", SP, D, Implemented, N/A, _, N/A, N/A, _, _, _, , ,
EL.2.8.2, "per Dabaghi Der Kiureghian (2017)", UF, D, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.9, Ability to select from synthetic ground motions, SP, M, Implemented, N/A, _, N/A, N/A, _, _, , , ,
EL.2.10, Ability to select surrogate modeling events, SP, M, Implemented, N/A, _, N/A, N/A, _, _, , , ,
**HL.1**, **Regional Loading due to Storm Surge/Tsunami Hazards**, **GC**, **D**, **InProgress**, **_**, **_**, **_**, **1.1.3.3.2**, **_**, **_**, , 
HL.1.1, "Multi-scale models for wind and water flows, i.e. lower fidelity regional models with more refined models to capture local flow", SP, D, InProgress, N/A, N/A, N/A, 1.1.3.3.2, _, _, ,
**HL.2**, **Local Scale Storm Surge/Tsunami Hazard Options**, **GC**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.2.1.2**, **_**, **_**, , 
**HL.2.1**, **Using computational fluid dynamics to model the interface and loading between waves and buildings**, **GC**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.2.1.2**, **_**, **_**, , 
HL.2.1.1, CFD to model fluid flow around a single rigid structure, SP, M, Implemented, N/A, N/A, N/A, `HydroUQ v1 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_, _, _, , 
HL.2.1.2, Mesh refinement around structures, SP, M, Implemented, N/A, N/A, N/A, Example `hdro-0003 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0003/README.html>`_, _, _, , 
HL.2.1.3, CFD to model fluid flow around a single deformable structure, SP, M, Implemented, N/A, N/A, N/A, `HydroUQ v2 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0003 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0003/README.html>`_, _, _, , 
HL.2.1.4, CFD to model fluid flow considering inflow and accumulation of fluid inside a rigid structure, SP, M, InProgress, N/A, N/A, N/A, 1.1.2.1.2, _, _, _, 
HL.2.1.5, "CFD to model fluid flow considering inflow, accumulation, and possible outflow of fluid across a deformable structure", SP, M, Implemented, N/A, N/A, N/A, `HydroUQ v2 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0003 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0003/README.html>`_, _, _, _, 
**HL.2.2**, "**Quantification of flood-borne debris hazards**", **GC**, **M**, **InProgress**, N/A, N/A, N/A, `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Examples `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_ & `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
HL.2.2.1, "Ability to quantify the effect of unconstrained and non-colliding floating bodies", SP, M, Implemented, N/A, N/A, N/A, `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_, _, _, _,
HL.2.2.2, "Ability to quantify the effect of colliding flood-borne debris", SP, M, Implemented, N/A, N/A, N/A, `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
HL.2.2.3, "Explore multiple methods like Material Point Method (MPM), Immersed Boundary Method (IBM), DEM-CFD, Smoothed Particle Hydrodyanmics (SPH), particle tracking", SP, M, InProgress, N/A, N/A, N/A, `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
HL.2.2.4, "Integrate one of the methods for integrating particles with Hydro workflow", GC, M, Implemented, N/A, N/A, N/A, `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
**HL.2.3**, "**Load combinations need to be developed to account for the simultaneous impacts of various flood forces, such as those generated by breaking waves, moving water and flood-borne debris**", **GC**, **M**, **InProgress**, _, _, _, `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_, **_**, **_**, ,
**HL.2.5**, "**Multi-scale models for wind and water flows, i.e., lower fidelity regional models with more refined models to capture local flow**", **SP**, **D**, **InProgress**, **_**, **_**, **_**, **1.1.3.3.2**, , , ,
HL.2.5.1, Interface GeoClaw and OpenFOAM, SP, M, Implemented, N/A, N/A, N/A, `HydroUQ v1 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_, _, _, , 
HL.2.5.2, Interface AdCirc and OpenFOAM, SP, M, InProgress, N/A, N/A, N/A, "1.1.2.1.2 & 1.1.3.3.2", _, _, , 
**HL.2.6**, **Libraries of high-resolution hurricane wind/surge/wave simulations**, **SP**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.1.1.4**, **_**, **_**, , 
HL.2.6.1, Develop a simulation library of GeoClaw simulations, SP, M, _, N/A, N/A, N/A, _, _, _, , 
HL.2.6.2, Develop a simulation library of AdCirc simulations, SP, M, _, N/A, N/A, N/A, _, _, _, , 
HL.2.6.3, Develop a simulation library of OpenFOAM simulations, SP, M, _, N/A, N/A, N/A, _, _, _, , 
**HL.2.7**, **Ability to simulate with surrogate models as an alternative to full 3D simulations**, **SP**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.2.2.2 & 1.1.2.2.3**, _, _, _, , 
HL.2.7.1, Ability to simulate with surrogate models as an alternative to full 3D debris, SP, M, InProgress, N/A, N/A, N/A, 1.1.2.2.2, _, _, , 
HL.2.7.2, Ability to simulate with surrogate models as an alternative to full 3D fluids, SP, M, InProgress, N/A, N/A, N/A, 1.1.2.2.3, _, _, , 
**HL.2.8**, **Develop digital twin of the Oregon State University's Large Wave Flume (OSU LWF) wave tank facility**, **SP**, **M**, **Implemented**, **_**, **_**, **_**, Example `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_, _, _, , 
**HL.2.9**, **Develop digital twin of the Waseda University's Tsunami Wave Basin (WU TWB) wave tank facility**, **SP**, **D**, **Implemented**, **_**, **_**, **_**, Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, ,
**WL.1**, "**Regional Loading due to Wind Hazards**","**_**","**_**","****","**N/A**","**_**","**N/A**", N/A,"**_**","**_**",,
**WL.1.1**, "**Regional Hurricane Wind Options**","**_**","**_**","**_**","**_**","**_**","**N/A**", N/A,"**_**","**_**",,
WL.1.1.1, "Utilize GIS and online to account for wind speed given local terrain, topography and nearby buildings",GC,"D", _, _, _, N/A, _, _, _,
WL.1.1.2, "MultiScale Wind Models",SP,"D", _, _, _, _, N/A, _, _,,
WL.1.1.3, "Multi-scale models for wind and water flows, i.e. lower fidelity regional models with more refined models to capture local flow",SP,"D", _, _, _, _, N/A, _, _,
WL.1.2, "Modeling and simulation for determination of wind loads due to non-synoptic winds, including tornadoes",GC,"D", _, _, _, _, _, _, _,
WL.1.3, "Interface with NOAA",SP,"D","Implemented", _, _, _, _, _, _,,
**WL.2**, "**Local Scale Wind Hazard Options**","**SP**","**M**","**Implemented**","**_**","**_**","**_**","**_**","**_**","**_**",,
**WL.2.1**,"**Utilize Extensive wind tunnel datasets in industry and academia for wide range of building shapes**","**_**","**_**","**_**","**_**","**_**","**_**","**_**",`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0007/README.html>`_,"**_**",,
**WL.2.1.1**,"**Accommodate Range of Low Rise building shapes**","**_**","**_**","**_**","**_**","**_**","**_**","**_**","**_**","**_**",,
WL.2.1.1.1, "Flat Shaped Roof - TPU dataset",SP,"M","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0007/README.html>`_, _,,
WL.2.1.1.2, "Gable Shaped Roof - TPU dataset",SP,"M","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0007/README.html>`_, _,,
WL.2.1.1.3, "Hipped Shaped Roof - TPU dataset",SP,"M","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0007/README.html>`_, _,,
WL.2.1.2, "Accommodate Range of High Rise building",SP,"M","InProgress", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/wind/windTunnelExp.html>`_, _,,
WL.2.1.3, "Non Isolated Low Rise Buildings - TPU dataset",SP,"M","InProgress", _, _, _, _, _, _,,
WL.2.2, "Interface with data-driven Interface with Vortex Winds DEDM-HRP Web service",SP,"M","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/wind/DEDMHrp.html>`_, _,,
WL.2.3, "Accommodate Data from Wind Tunnel Experiment",SP,"M","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/wind/lowRiseTPU.html>`_, _,,
WL.2.4, "Simple CFD model generation and turbulence modeling",GC,"M","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0013/README.html>`_, _,,
**WL.2.5**,"**Computational Fluid Dynamics tool for utilizing open source CFD software for practitioners**","**_**","**_**","**_**","**_**","**_**","**_**","**_**","**_**","**_**",,
WL.2.5.1, "Uncoupled OpenFOAM CFD model with nonlinear FEM code for building response",SP,"M","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0013/README.html>`_, _,,
WL.2.5.2, "Coupled OpenFOAM CFD model with linear FEM code for building response",SP,"M","InProgress", _, _, _, _, _, _,,
WL.2.5.3, "Inflow Conditions for non-synoptic winds",GC,"M", _, _, _, _, _, _, _,,
WL.2.6, "Quantification of Effects of Wind Borne Debris",GC,"D", _, _, _, _, _, _, _,,
WL.2.7, "Ability to utilize synthetic wind loading algorithms per Wittig and Sinha",SP,"D","Implemented", _, _, _, _,`Example <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0001/README.html>`_, _,,
WL.2.8, "Hazard modification by terrain, topography, and nearby buildings",GC,"D", _, _, _, _, _, _, _
WL.2.9, "Probabilistic methods are needed to enable site-specific and storm-type specific characterization of likely debris types, weights,and speeds",GC,"D", _, _, _, _, _, _, _
WL.2.10, "Joint description for hurricane wind, storm surge, and wave hazards",GC,"D", _, _, _, _, _, _, _
WL.2.11, "Libraries of high-resolution hurricane wind/surge/wave simulations",GC,"M","InProgress", _, _, _, _, _, _,,
WL.2.12, "Multi-scale models for wind and water flows, i.e. lower fidelity regional models with more refined models to capture local flow",SP,"M","InProgress", _, _, _, _, _, _,
WL.2.13, "Ability to select surrogate modeling events",SP,"M", _,"InProgress", _, _, _, _, _,,
