**BE.1**, **Ability to use cumulative knowledge bases rather than the piecemeal individual approaches**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
BE.1.1, Utilize Federated Databases to maintain individual databases & data sources yet provide central database resource, SP, M, _, _, _, _, _, _, _, , 
ED.1, Ability to obtain education w.r.t. interaction of structure and wind and water, GC, D, _, _, _, _, _, _, _, **_**, **_**
**ED.2**, "**Ability to use reference datasets from experimental tests for analysis comparisons to increase confidence in numerical simulations; ability to gain an understanding of nonlinear response of materials, components, and framing systems using integrated laboratory research and numerical simulation**", **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
ED.2.1, Ability for Braced Frames, SP, D, 1.0, _, _, _, _, _, _, , 
ED.2.2, Ability to gain such for Concrete Shear Walls, SP, D, Implemented, _, _, _, _, _, _, , 
ED.2.3, Ability for Columns utilizing PEER database, SP, D, _, _, _, _, _, _, _, , 
ED.2.4, Ability for moment frames using Japanese test data, SP, D, _, _, _, _, _, _, _, , 
**Q.1**, **A tool that facilitates civil engineers performing UQ methods and provides a platform for those in UQ to promote their research to a broader audience**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
Q.1.2, Ability to extend to multiple UQ engines”, SP, M, 2.2, , , , , , , _, _
Q.1.3, Ability to utilize resources beyond the desktop, e.g. HPC, for computations, SP, M, 1.0, _, _, _, _, , 
Q.2, Ability to utilize existing open-source software for faster deployment, SP, M, 1.0, _, _, _, _, _, _, , 
**TB.1**, **Provide Earthquake Testbeds**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
TB.1.1, Provide Bay Area Earthquake Testbed, SP, M, TB1.0, _, _, _, _, _, _, , 
TB.1.2, Provide Anchorage Earthquake Testbed, SP, M, TB1.1, _, _, _, _, _, _, , 
TB.2, Provide Tsunami Testbed, SP, M, _, _, _, _, _, _, _, , 
**TB.3**, **Provide Hurricane Testbed**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, , 
TB.3.1, Provide Atlantic City Hurricane Wind Testbed, SP, M, TB2.0, _, _, _, _, _, _, , 
TB.3.2, Provide Atlantic City Hurricane Wind and Storm Surge Testbed, SP, M, _, _, _, _, _, _, _, , 
TB.3.3, Provide Hurricane Laura Testbed looking at Lake Charles, SP, M, _, _, _, _, _, _, _, , 
TB.4, Provide Earthquake and Lifelines Testbed, SP, M, _, _, _, _, _, _, _, , 
