Attribute,Description,Format
JoistSpace,Defines joist spacing for multi-unit strip malls for purposes of Hazus wind vulnerability assessments for MLRM2,"Choices: N/A, 4, 6"
WindDebris,"Defines likely sources of wind debris for purpose of Hazus wind vulnerability assessments for MERBL-M-H, MECBL-M-H, MLRM1, MLRM2, SERBL-M-H, SECBL-M-H, CECBL-M-H, CERBL-M-H and Fire Stations (HUEFFS), Elementary Schools (HUEFSS), 2-story High School (HUEFSM) and 3-story High School (HUEFSL) and Hospitals (small - HUEFHS, medium - HUEFHM, large - HUEFHL) and Police Stations (HUEFPS), Emergency Operation Centers (HUEFEO)       ","Choices: Res/Comm, Varies by Direction, Residential, None, A, B, C, D"
WWR,"Defines window to wall ratio (WWR) for purpose of Hazus wind vulnerability assessments for MERBL-M-H, MECBL-M-H, SERBL-M-H, SECBL-M-H, CECBL-M-H, CERBL-M-H and Police Stations (HUEFPS), Emergency Operation Centers (HUEFEO)","Choices: low, medium, high"
TieDowns,"Defines use of ties to connect mobile homes to foundations per HUD guidelnes for purpose of Hazus wind vulnerability assessments for MH94HUDI-II-III, MH76HUD, MHPHUD","Choices: yes, no"
HazusClass-IN,Hazus building classes as defined for inundation (flooding),"Choices: SF1XA, SF1XV, SF2XA, SF2XV, SF2BA, SF2BV, SF2SA, SF2SV, MH, APT, HOT, NURSE, RETAIL, WHOLE, SERVICE, OFFICE, BANK, HOSP, MED, REC, THEAT, GARAGE, INDH, INDL, CHEM, PROC, CONST, AGRI, RELIG, CITY, EMERG, SCHOOL"
HazusClass-WA,Hazus building classes as defined for wave action,"Choices: W1, W2, W3, MC1, MC2, MC3, S1, S2, S3, MH"
FloodType,Assignment to flood zones as defined for Hazus damage/loss descriptions,"Choices: Riverine/A-Zone, Coastal/A-Zone, 
Coastal/V-Zone"
FirstFloorElev,Assignment of first floor height as defined by Hazus,Floating Point Number
PostFIRM,Assignment of FIRM phasing as defined by Hazus,"Choices: Yes, No"
NumberofStories,Initalizing number of stories for Hazus analysis,integer
BasementType,Assignement of basement type for Hazus analysis,"Choices: Basement, Split-Level Basement, No Basement"
OccupancyType,Assignment of Occupancy type for Hazus analysis ,"Choices: SF1XA, SF1XV, SF2XA, SF2XV, SF2BA, SF2BV, SF2SA, SF2SV, MH, APT, HOT, NURSE, RETAIL, WHOLE, SERVICE, OFFICE, BANK, HOSP, MED, REC, THEAT, GARAGE, INDH, INDL, CHEM, PROC, CONST, AGRI, RELIG, CITY, EMERG, SCHOOL"
Duration,Assignment of storm suration for Hazus Analysis,"Short, Long"
Wave Velocity,Definition of wave velocity in ft/s for Hazus Analysis,Floating Point Number
